state,question_id,question_text,answer_label,pct
AK,1,aunt,"[] as in ""ah""",2.08
AK,1,aunt,"[] as in ""ant""",77.08
AK,1,aunt,"[] as in ""caught""",4.17
AK,1,aunt,"i have the same vowel in ""ah"", ""caught"", and ""aunt""",8.33
AK,1,aunt,"i use [/] when referring to the general concept of an aunt, but [] when referring to a specific person by name.",6.25
AK,1,aunt,"i use [] when referring to the general concept of an aunt, but [/] when referring to a specific person by name.",2.08
AK,2,been,"[] as in ""sit""",47.92
AK,2,been,"[i:] as in ""see""",4.17
AK,2,been,"[] as in ""set""",45.83
AK,2,been,other,2.08
AK,3,"the first vowel in ""Bowie knife""","[o:] as in ""bo""",72.92
AK,3,"the first vowel in ""Bowie knife""","[u:] as in ""boo""",14.58
AK,3,"the first vowel in ""Bowie knife""","i have seen this word in print, but have no idea how to pronounce it",6.25
AK,3,"the first vowel in ""Bowie knife""",i have never seen or heard this word,4.17
AK,3,"the first vowel in ""Bowie knife""",other,2.08
AK,4,caramel,"with 2 syllables (""car-ml"")",64.58
AK,4,caramel,"with 3 syllables (""carra-mel"")",16.67
AK,4,caramel,i use both interchangeably,14.58
AK,4,caramel,"i have both forms, but the two have different meanings (please state how in the comments box)",4.17
AK,5,"the vowel in the second syllable of ""cauliflower""","[i:] as in ""see""",14.89
AK,5,"the vowel in the second syllable of ""cauliflower""","[] as in ""sit""",74.47
AK,5,"the vowel in the second syllable of ""cauliflower""",other,10.64
AK,6,"the last vowel in ""centaur""","[] as in ""car"" (""sen-tar"")",55.32
AK,6,"the last vowel in ""centaur""","[] as in ""caught""",6.38
AK,6,"the last vowel in ""centaur""","i use the same vowel in ""car"", ""caught"", and ""centaur""",23.4
AK,6,"the last vowel in ""centaur""","rhymes with ""sore"" and ""more"" (""sen-tore"")",12.77
AK,6,"the last vowel in ""centaur""",other,2.13
AK,7,coupon,"with [u:] as in ""coop"" (""coopon"")",62.5
AK,7,coupon,"with [ju:] as in ""cute"" (""cyoopon"")",37.5
AK,8,Craig (the name),"[] as in ""set""",29.17
AK,8,Craig (the name),"[e:] as in ""say""",43.75
AK,8,Craig (the name),"i say something in between the vowels in ""set"" and ""say"", but closer to the one in ""say""",12.5
AK,8,Craig (the name),"i say something in between the vowels in ""set"" and ""say"", but closer to the one in ""set""",14.58
AK,9,crayon,"[] as in ""man"" (1 syllable, ""cran"")",12.77
AK,9,crayon,"[ej] (2 syllables, ""cray-ahn"")",36.17
AK,9,crayon,"[ej] (2 syllables, ""cray-awn"", where the second syllable rhymes with ""dawn"")",42.55
AK,9,crayon,"[aw] (i pronounce this the same as ""crown"")",2.13
AK,9,crayon,other,6.38
AK,10,creek (a small body of running water),"[i:] as in ""see""",76.6
AK,10,creek (a small body of running water),"[] as in ""sit""",8.51
AK,10,creek (a small body of running water),i use both interchangeably,4.26
AK,10,creek (a small body of running water),"i use both, but they mean two different things (please state how they differ in the comments box)",8.51
AK,10,creek (a small body of running water),other,2.13
AK,11,"the first vowel in ""Florida""","[o:] as in ""flow"" (""flow-ri-da"")",8.51
AK,11,"the first vowel in ""Florida""","[] as in ""sore"" (""flore-i-da"")",91.49
AK,12,flourish,"[] as in ""bird"" (""flurr-ish"")",64.58
AK,12,flourish,"[] as in ""sore"" (""flore-ish"")",18.75
AK,12,flourish,"[] as in ""sun"" (""fluh-rish"")",10.42
AK,12,flourish,other (including if you use one pronunciation for the verb and a different pronunciation for the noun),6.25
AK,13,"the last vowel in ""handkerchief""","[i:] as in ""see""",27.08
AK,13,"the last vowel in ""handkerchief""","[] as in ""sit""",68.75
AK,13,"the last vowel in ""handkerchief""",other,4.17
AK,14,lawyer,"with [j] as in ""boy"" (""loyer"")",75.0
AK,14,lawyer,"with [] as in ""saw"" (""law-yer"")",16.67
AK,14,lawyer,i use both interchangeably,8.33
AK,15,How do you pronounce Mary/merry/marry?,all 3 are the same,66.67
AK,15,How do you pronounce Mary/merry/marry?,all 3 are different,6.25
AK,15,How do you pronounce Mary/merry/marry?,mary and merry are the same; marry is different,6.25
AK,15,How do you pronounce Mary/merry/marry?,merry and marry are the same; mary is different,4.17
AK,15,How do you pronounce Mary/merry/marry?,mary and marry are the same; merry is different,16.67
AK,16,mayonnaise,"with [] as in ""man"" (2 syllables--""man-aze"")",43.48
AK,16,mayonnaise,"with [ej] (3 syllables--""may-uh-naze"")",34.78
AK,16,mayonnaise,i use both interchangeably,10.87
AK,16,mayonnaise,other,10.87
AK,17,"the first vowel in ""miracle""","[i:] as in ""near""",53.19
AK,17,"the first vowel in ""miracle""","[] as in ""knit""",23.4
AK,17,"the first vowel in ""miracle""","[] as in ""net""",4.26
AK,17,"the first vowel in ""miracle""",i say something in between [] and [],17.02
AK,17,"the first vowel in ""miracle""",other,2.13
AK,18,mischievous vs. mischievious,mischievous (3 syllables),23.4
AK,18,mischievous vs. mischievious,mischievious (4 syllables),36.17
AK,18,mischievous vs. mischievious,"i write ""mischievous"" but say ""mischievious""",8.51
AK,18,mischievous vs. mischievious,i use both,27.66
AK,18,mischievous vs. mischievious,other,4.26
AK,19,"the final vowel in ""Monday,"" ""Friday,"" etc.","[e:] as in ""say""",91.49
AK,19,"the final vowel in ""Monday,"" ""Friday,"" etc.","[i:] as in ""see""",2.13
AK,19,"the final vowel in ""Monday,"" ""Friday,"" etc.","i use [e:] with the words in isolation, but [i:] in compounds (such as ""sunday school"")",4.26
AK,19,"the final vowel in ""Monday,"" ""Friday,"" etc.","other (e.g. do you use one vowel in some day names, and another in the other names?)",2.13
AK,20,"the second vowel in ""pajamas""","[] as in ""jam""",65.96
AK,20,"the second vowel in ""pajamas""","[] as in ""father""",27.66
AK,20,"the second vowel in ""pajamas""",other,6.38
AK,21,pecan,"[pi:kn] with stress on the first syllable (""pee-can"")",2.13
AK,21,pecan,"[pi:kn] with stress on the second syllable (""pee-can"")",4.26
AK,21,pecan,"[pi:kn] with stress on the first syllable (""pee-kahn"")",19.15
AK,21,pecan,"[pi:kn] with stress on the second syllable (""pee-kahn"")",38.3
AK,21,pecan,"[pkn] (""pick ann"")",2.13
AK,21,pecan,"[pkn] (""pick ahn"")",27.66
AK,21,pecan,"i pronounce it differently when it's alone than when it's in a compound like ""pecan pie"" (please state how you pronounce the two variants in the comments box)",6.38
AK,22,poem,one syllable,34.04
AK,22,poem,two syllables,65.96
AK,23,really,"[i:] as in ""see"" (""reely"")",42.55
AK,23,really,"[] as in ""sit"" (""rilly"")",34.04
AK,23,really,"[i] (""ree-l-y"")",10.64
AK,23,really,other (including if you use two or more of these interchangeably),12.77
AK,24,realtor (a real estate agent),"2 syllables (""reel-ter"")",38.3
AK,24,realtor (a real estate agent),"3 syllables (real[]tor, in other words ""reel-uh-ter"")",38.3
AK,24,realtor (a real estate agent),3 syllables (ree-l-ter),19.15
AK,24,realtor (a real estate agent),"i don't use this word; i use ""estate agent""",2.13
AK,24,realtor (a real estate agent),other,2.13
AK,25,"roof, room, broom, root","[u:] as in ""food""",63.04
AK,25,"roof, room, broom, root","[] as in ""foot""",2.17
AK,25,"roof, room, broom, root",these four words do not all have the same vowel (please use the comments box to let us know which is which),34.78
AK,26,"route (as in, ""the route from one place to another"")","rhymes with ""hoot""",14.89
AK,26,"route (as in, ""the route from one place to another"")","rhymes with ""out""",25.53
AK,26,"route (as in, ""the route from one place to another"")",i can pronounce it either way interchangeably,38.3
AK,26,"route (as in, ""the route from one place to another"")","i say it like ""hoot"" for the noun and like ""out"" for the verb.",8.51
AK,26,"route (as in, ""the route from one place to another"")","i say it like ""out"" for the noun and like ""hoot"" for the verb.",12.77
AK,27,"the first vowel in ""syrup""","[i] ""sear-up""",23.91
AK,27,"the first vowel in ""syrup""","[] ""sih-rup""",6.52
AK,27,"the first vowel in ""syrup""","[] as in ""sir""",67.39
AK,27,"the first vowel in ""syrup""",other,2.17
AK,28,"Do you pronounce ""cot"" and ""caught"" the same?",different,27.66
AK,28,"Do you pronounce ""cot"" and ""caught"" the same?",same,72.34
AK,29,almond,"all-mond (first syllable sounds like ""all"")",80.85
